course_code,section,title,credit_hours,meeting_info,instructor,description,section_description,section_expectations,evaluation,soc_comments,semester,prerequisites,other_requirements,uncertain
CS 1080,"Section A, CRN 91695",Intro to Web Site Dev,3,TTh 4:25pm-5:40pm in JAMES M JEFFORDS HALL 127 (8/25 to 12/5),Murat Gungor,"Provides a strong foundation in HTML, CSS, images, beginning web programming, and web design so that the student can create a complete functional web site in a team based final project.","Lays a foundation in website coding with HTML, CSS, JavaScript, images, and basic web design, empowering students to create a functional website.",Assumes no prior experience with programming.,"Quizzes, Active Learning Exercises, Lab Exercises, Projects",Open to Degree and PACE students,Fall and Spring 2025,,['Open to Degree and PACE students'],False
CS 1210,"Section F, CRN 92166",Comp Prog I: for CS majors,3,TTh 2:50pm-4:05pm in MARSH LIFE SCI 105 (8/25 to 12/5),Sami Connolly,Introduction to algorithmic problem solving and computer programming. Designed to provide a foundation for further studies in computer science.,Introduction to programming and computer science with Python.,Assumes no prior experience with programming. Student should have high school algebra.,,"Open to CS, CSIS, and DS majors only",Fall 2025,,"['Open to CS, CSIS, and DS majors only']",False
CS 1210,"Section B, CRN 90147",Computer Programming I,3,TTh 8:30am-9:45am in VOTEY BLDG 207 (8/25 to 12/5),Sami Connolly,Introduction to algorithmic problem solving and computer programming. Designed to provide a foundation for further studies in computer science.,Introduction to programming with Python.,Assumes no prior experience with programming.,"Weekly homework, lab and active learning exercises. Two exams (no final exam). Final project.",Open to Degree and PACE students,Fall and Spring 2025,,['Open to Degree and PACE students'],False
CS 1320,"Section A, CRN 94171","Puzzles, Games & Algorithms",3,MWF 10:50am-11:40am in VOTEY BLDG 303 (8/25 to 12/5),Lisa Dion,"Introductory computer science through exploration and analysis of mathematical puzzles and games, and the algorithms that handle them. Prerequisite: No credit if taken after CS 2100.","In this course, you will explore computational thinking through the analysis of mathematical puzzles and games, and the algorithms that handle them. Learning objectives include:
- To engage in productive struggle and data collection to solve common puzzles and understand common mathematical games through computational thinking
- To understand, appreciate, and communicate various approaches and algorithms to solving the games and puzzles
- To connect the puzzles and games to real-world applications and transfer the knowledge and understanding to help shape real-world decisions and actions","This course is taught in an active learning style, so class attendance will be crucial. You will be expected to work for 6 hours outside of class each week, per University policy regarding work required for a 3 credit hour course.","This course is taught using a points-based system. Each week a few assignments will be released, with varying formats and point values. Your final grade will be based on the number of points you accumulate by the end of the semester.",Open to Degree and PACE students,Fall and Spring 2025,,['Open to Degree and PACE students'],False
CS 1500,"Section A, CRN 90913",Seminar for New CS Majors,1,F 2:20pm-3:10pm in VOTEY BLDG 105 (8/25 to 12/5),Sami Connolly,A fun and accessible breadth-first introduction to the CS community and curricula at UVM. CS faculty serve as guest lecturers to introduce new CS majors to selected topics covered in upper division UVM CS electives. Prerequisites: Computer Science or Computer Science & Information Systems majors who have not yet completed CS 2100. Co-requisite: CS 1210 or CS 2100.,"This course is intended to introduce new Computer Science majors to the UVM CS degree program.

Course goals:
- Build community among CS students and faculty
- Give students an appreciation of the breadth of CS
- Excite students about advanced CS electives
- Help students navigate the various curricular options in CS at UVM
- Help students begin for a transition to a career in CS","You will be expected to attend each lecture period and complete written assignments outside of class time. You will be expected to work for 2 hours outside of class each week, per University policy regarding work required for a 1-credit-hour course.","Your final grade will be based on pre-class writeups, post-class quizzes, and occasional homework assignments.","CS, CSIS, or Data Science majors only",Fall 2025,,"['Computer Science or Computer Science & Information Systems majors who have not yet completed CS 2100', 'CS, CSIS, or Data Science majors only']",False
CS 1640,"Section A, CRN 90230",Discrete Structures,3,MWF 1:10pm-2pm in PERKINS BUILDING 003 (8/25 to 12/5),Jeffrey Jewell,"Introduction to analytic and formal methods of computer science with practical examples, including analysis or data structures, recursion relations, proof methods, and logic programming. Credit not awarded for both CS 1640 and MATH 2055. Prerequisites: CS 1210 or CS 2100; MATH 1234 or MATH 1242.",,,,"Prereqs enforced by the system: (CS 1210 or 2100) and
(MATH 1234 or 1242);
Open to Degree and PACE students",Fall 2025,"{'AND': [{'OR': ['CS 1210', 'CS 2100']}, {'OR': ['MATH 1234', 'MATH 1242']}]}",['Open to Degree and PACE students'],False
CS 1870,"Section A, CRN 92324",Intro to Data Science,3,MWF 1:10pm-2pm in VOTEY BLDG 209 (8/25 to 12/5),Roger Tenore,"Basic techniques of data harvesting and cleaning; association rules, classification and clustering; analyze, manipulate, and visualize data using programming languages. Basic principles of probability and statistical modeling/inference to make meaning out of large datasets. Credit not awarded after STAT 3000 or greater. Cross-listed with: STAT 1870.",,,,"Cross-listed with STAT 1870 A;
Total combined enrollment: 45;
Open to Degree and PACE students",Fall 2025,,['Open to Degree and PACE students'],False
CS 1994,,Teaching Assistantship,Varies by section,,,Assist in instruction of undergraduate computer science courses under the direct supervision of a faculty member. Instructor permission required.,,,,Varies by section,Fall and Spring 2025,,['Instructor permission required'],False
CS 2100,,Intermediate Programming,Varies by section,,Jackie Horton,"Intermediate programming concepts including common data structures, algorithms, style, design, documentation, testing and debugging techniques, and an introduction to object-oriented programming. Prerequisite: CS 1210 with a grade of C- or better.",,,,Varies by section,Fall and Spring 2025,CS 1210,[],False
CS 2210,,Computer Organization,3,,Clayton Cafiero,"Introduction to computer system organization including performance, assembly language, machine-level data representation, arithmetic for computers, processor datapath control, memory, and input/output. Includes significant semester project. Cross-listed with: CMPE 2210. Prerequisite: CS 2100.",,,,Varies by section,Fall and Spring 2025,CS 2100,[],False
CS 2240,,Data Struc & Algorithms,3,,,"Design and implementation of linear structures, trees and graphs. Examples of common algorithmic paradigms. Theoretical and empirical complexity analysis. Sorting, searching, and basic graph algorithms. Prerequisites: CS 2100 with a grade of C- or better; minimum Sophomore standing.","You will learn the common data structures for abstract data types and algorithms, including lists, trees, heaps, sorting, hashing, and disjoint set finding/uniting. You will also consider and compare their performances.
Course goals and objectives:
1) You will gain knowledge of different data structures and recognize the use cases for each.
2) You will consider not just whether algorithms function correctly or not, but also their efficiency and performance as the amount of data grows.
3) You will use the C++ programming language to collect data with and analyze data structures and algorithms.","This class is run lecture-style with practice problems and active learning activities sprinkled throughout. You will be expected to work for 6 hours outside of class each week, per University policy regarding work required for a 3 credit hour course.","Your final grade will be based on quizzes, programming projects, active learning activities, surveys, and a final exam.",Varies by section,Fall and Spring 2025,{'AND': ['CS 2100']},['minimum Sophomore standing'],False
CS 2250,,Computability& Complexity,3,,,Formal languages and expressiveness. Turing completeness and Church's Thesis. Decidability and tractability. Complexity classes and theory of NP completeness. Prerequisites: CS 1640 or MATH 2055. Co-requisite: CS 2240.,,,,"Prereqs enforced by the system: CS 1640 or MATH 2055;
Coreq: CS 2240;
Open to Degree and PACE students",Fall and Spring 2025,"{'OR': ['CS 1640', 'MATH 2055']}",['Open to Degree and PACE students'],False
CS 2300,,Advanced Programming,3,,Lisa Dion,"Builds programming maturity and proficiency through significant projects with spiral development, including program specification, design, implementation, debugging, testing, validation, internal and external documentation. Focus on advanced topics including efficiency, profiling, modularity, extensibility, programming paradigms, design patterns, memory management, and generics. Prerequisite: CS 2240.","This project-based course is separated into four modules. You will learn the details of C++ through a mixture of guided and open-ended projects, oral/written assignments, and other activities. An emphasis will be put on creativity and collaboration.

Course goals and objectives include:
1) To master C++ programming.
2) To expand programming knowledge to projects that require multiple languages.
3) To explore event-based programming through C++ graphics projects.
4) To develop the skills necessary to effectively collaborate in teams.","Every three-week module will be themed and will have lectures, active learning activities, and assignments associated with it. You will be expected to work for 6 hours outside of class each week, per University policy regarding work required for a 3 credit hour course.","This course uses a point-based grading system, where you get to choose which assignments you want to complete to earn points towards your final grade.","Prereqs enforced by the system: CS 2240;
Open to Degree and PACE students",Fall and Spring 2025,CS 2240,['Open to Degree and PACE students'],False
CS 2500,"Section A, CRN 94648",Intro to Database Systems,3,MW 3:30pm-4:45pm in INNOVATION HALL E204 (8/25 to 12/5),Jackie Horton,"Serves as a foundational course in modern database systems. Introduces the fundamental concepts and techniques of relational database management, data modeling, relational algebra, structured query language, database design and database management.  Practical experience will be gained through a series of labs and projects. Credit not awarded after CS 3040 or CS 5040. Prerequisites: CS 1210; minimum Sophomore standing. Pre/Co-requisites: CS 1210; minimum Sophomore standing.","This course will serve as a foundational course in modern database systems. Students will be introduced to the fundamental concepts and techniques of relational database management, data modeling, relational algebra, structured query language, database design and database management.  The course will make extensive use of Python to interface with SQLite. Practical experience will be gained through a series of labs and projects.  Credit not awarded after CS 3040 or CS5040.

Pre-req:  CS21/CS1210 and sophomore standing.  Strong Python skills will be required.",Completion of CS1210. Sophomore Standing.,,"Prereqs enforced by the system: CS 1210
Open to degree and PACE students",Fall and Spring 2025,{'AND': ['CS 1210']},"['minimum Sophomore standing', 'Open to degree and PACE students']",False
CS 2510,,Intro Artificial Intelligence,3,,Clayton Cafiero,"An introduction to artificial intelligence including logic and rule-based approaches, heuristic search, A*, IDA*, minimax, alpha/beta pruning, expectiminimax, Markov models and MDPs, decision tree, ensemble learning / random forest, the neural model and simple multi-layer perceptrons. Other topics, if any may vary. Prerequisite: C- or better in CS 2240.",,,,Prereqs enforced by the system: CS 2240,Fall and Spring 2025,CS 2240,[],False
CS 2660,"Section OL1, CRN 13197",Cybersecurity Principles,3,,James Eddy,"Introduction to cybersecurity, fundamental security design principles, programming flaws, malicious code, web and database security, cryptography algorithms and hashing functions; overview of computer networks and common network threat vectors. Prerequisites: CS 2210 with a grade of C- or better.",,,,"Prereqs enforced by the system: CS 2210 with a
grade of C- ;
Asynchronous Online Course;
Open to Degree and PACE students",Spring 2026,CS 2210,['Open to Degree and PACE students'],False
CS 2870,,Basics of Data Science,3,,Jacob Martin,"Basic data science techniques, from import to cleaning to visualizing and modeling, using the R language. Machine learning methods include regression, classification and clustering algorithms. Programming methods include user-defined functions. Prerequisite: STAT 1110, STAT 1410, or STAT 2430. Cross-listed with: STAT 2870.",,,,Varies by section,Fall 2025,"{'OR': ['STAT 1110', 'STAT 1410', 'STAT 2430']}",[],False
CS 2920,"Section A, CRN 12182",SL:Girls Who Code,1,,Lisa Dion,Service learning experience that benefits the University or the Community under the direction of a CS faculty member. Prerequisite: Instructor permission.,This is for students who help facilitate the UVM Girls Who Code club on Saturday mornings. We teach local K-12 girls the basics in programming.,"You will be expected to attend the club every Saturday, participate in reflections and planning before and after each session, and lead the session a few times during the semester.","You will be evaluated based on attendance, completion of tasks, being a good role model for the girls, lesson planning, and leadership.","Instructor permission required;
Open to Degree and PACE students",Fall and Spring 2025,,"['Instructor permission', 'Open to Degree and PACE students']",False
CS 2993,,Independent Study,Varies by section,,,"A course which is tailored to fit the interests of a specific student, which occurs outside the traditional classroom/laboratory setting under the supervision of a faculty member, for which credit is awarded. Offered at department discretion.",,,,Varies by section,Fall 2025,,['Offered at department discretion'],False
CS 2994,,Teaching Assistantship,1 to 3,,,"Undergraduate student service as a teaching assistant, usually in an introductory-level course in the discipline, for which credit is awarded. Offered at department discretion.",,,,Varies by section,Fall and Spring 2025,,['Department consent'],False
CS 3010,"Section A, CRN 90238",Operating Systems,3,MWF 12pm-12:50pm in VOTEY BLDG 207 (8/25 to 12/5),Jason Hibbeler,"Supervisory and control software for multiprogrammed computer systems. Processes, threads, synchronization, interprocess communication, scheduling, memory management, resource allocation, performance evaluation, secondary storage, case studies. Prerequisites: CS 2300 and CS 2210.","CS 3010 will provide a broad overview of operating systems, focused primarily on Linux.  We will pursue an in-depth investigation of the following topics: the OS kernel and kernel mode; concurrency and threads; synchronization and deadlock;, scheduling algorithms; virtual-memory management; I/O devices; and file-system management.

From this course, students will become proficient in developing system-level programs in C.

The recommended text will be Operating System Concepts: Principles and Practice, 2nd Edition, by Anderson and Dahlin.",Students will learn concepts by creating several C programs on Linux that apply the various concepts from class.  There will be a midterm exam and a final exam; several short Brightspace quizzes covering concepts from the lectures; and in-class practice worksheets.,Course grades will be based on the midterm and final exams; the programming projects; the Brightspace quizzes covering concepts from the lectures; and attendance.,"Prereqs enforced by the system: CS 2210 and CS 2300
Open to degree and PACE students",Fall and Spring 2025,"{'AND': ['CS 2300', 'CS 2210']}",['Open to degree and PACE students'],False
CS 3040,"Section A, CRN 93083",Database Systems,3,MWF 8:30am-9:20am in MARSH LIFE SCI 105 (8/25 to 12/5),Byung Lee,Techniques for processing very large collections of data. Secondary storage. Database design and management. Query languages and optimization. Database recovery. Credit not awarded for both CS 3040 and CS 5040. Prerequisite: CS 2240.,"Theory and practice of database design and application programming, and basic internals of a database management system. Specific topics include database concepts, data models and database design, query languages, database programming concepts and languages, files and physical design, query processing and optimization, transaction concepts, concurrency control and recovery, and access control.","Lecture course. 6 to 8 hours of work expected outside the classroom.  Prerequisite: Familiarity with basic data structures, algorithms, discrete mathematics, and computer organization. Required text: Ramez Elmasri and Sham Navathe, Fundamentals of Database Systems (7th edition), Pearson, 2016.","Weekly homework, including written and programming. Class attendance.","Prereqs enforced by the system: CS 2240;
Colocated with CS 5040 A;
Total combined enrollment: 45;
Open to Degree and PACE students",Fall 2025,CS 2240,"['Familiarity with basic data structures', 'algorithms', 'discrete mathematics', 'computer organization', 'Open to Degree and PACE students']",False
CS 3050,"Section A, CRN 11825",Software Engineering,3,MWF 3:30pm-4:20pm UNASSIGNED (1/12 to 5/1),Jason Hibbeler,"Treatment of software engineering problems and principles, with a focus on iterative software development. A significant part of the course is devoted to two multi-week team projects. Prerequisite: CS 2300.","CS 3050 will present a broad overview of the many activities involved in software engineering.  In particular, we will devote particular attention requirements engineering and to iterative software development.  We will also cover additional topics including design and implementation, verification, evolution, and software maintenance.  Students will learn and make use of automated frameworks for analyzing, testing, and documenting source code.

Students will acquire the skills needed to work constructively in an agile framework (Kanban, Scrum) on a large-scale team project and will learn to use git effectively.

The recommended text is Essentials of Software Engineering, by Tsui, Karam, and Bernal (ISBN 1284106004).","There will be three individual in-class coding challenges in Python, a short team programming project, and large team programming project that will span approximately half the semester.  There will be two exams.  Students must be able to work effectively as part of a team.","Course grades will be based on in-class coding challenges, on the exams, and on the two team projects.  The team projects will count for a significant portion of the course grade.  In addition, students will present material in writing and orally in class, and these presentations will count towards the course grade.  Students will also be evaluated on their ability to work as part of the team.  Class attendance will also count towards the course grade.","Prereqs enforced by the system: CS 2300;
Project presentation session: Feb 12th, 6-9 PM;
Open to Degree and PACE students",Spring 2026,CS 2300,['Open to Degree and PACE students'],False
CS 3060,"Section A, CRN 10577",Evolutionary Robotics,3,TTh 8:30am-9:45am UNASSIGNED (1/12 to 5/1),Joshua Bongard,"Exploration of the automated design of autonomous machines using evolutionary algorithms. Coursework involves reading of research papers, programming assignments and a final project. Credit not awarded for both CS 3060 and CS 5060. Prerequisites: Junior standing and programming experience, or Instructor permission.",,,,"Prereq: Junior standing and programming experience
or instructor permission; Co-located with CS 5060 A;
Total combined enrollment: 60;
Open to Degree and PACE students",Spring 2026,,"['Junior standing', 'programming experience', 'Instructor permission', 'Open to Degree and PACE students']",False
CS 3110,"Section A, CRN 92684",Data Privacy,3,MWF 1:10pm-2pm in DEWEY HALL 314 (8/25 to 12/5),Joe Near,"Explores the research field of data privacy, including privacy attacks on anonymized data, and formal approaches like k-Anonymity and differential privacy. Applies the theory of data privacy to real problems in programming projects. Credit not awarded for both CS 3110 and CS 5110 Prerequisites: CS 2240, CS 2250.","How can we learn from sensitive data collected from individuals, while protecting the privacy of those individuals?

This question is central to the study of data privacy, and is increasingly relevant with the widespread collection of our personal data. Analysis of this data can lead to important benefits for society, including advances in medicine and public infrastructure, but can also result in privacy breaches that expose our most closely-held secrets.

This course will explore both threats to privacy and solutions to the data privacy problem. We will demonstrate that traditional approaches to protecting privacy, such as anonymization, are subject to powerful attacks that reveal individuals’ sensitive data. We will see that while more recent approaches for protecting privacy, including k-anonymity and l-diversity, are more resistant to these attacks, they are not immune.

Then, we will explore recent formal notions of privacy, including differential privacy. Differential privacy provides a rigorous formal definition of individual privacy that enables a wide range of statistical analyses while protecting privacy. We will explore a number of differentially private algorithms for analytics and machine learning, and learn about the algorithmic building blocks and proof techniques used to develop them.

In addition to learning about the mathematical foundations of differential privacy, we will explore its practical implications. We will learn about existing practical systems for enforcing differential privacy and examine the challenges of building such systems. This course will include programming assignments and an end-of-semester project, in which students are expected to demonstrate both mastery of the concepts we explore and understanding of their practical implications by building their own systems that perform privacy-preserving analyses on real data.","This course will be structured around lectures and a weekly programming assignment. Each lecture will cover concepts in ensuring data privacy; in the corresponding programming assignment, you will implement algorithms corresponding to these concepts. Students should expect to spend 5-6 hours per week outside of class on the weekly programming assignments. The required materials for this course are all freely available online.","Your grade for the course will be determined as follows:

    10 homework assignments (5% each; 50% total)
    exams (20% total)
    in-class exercises (20% total)
    final project (10%)

Homework Assignments

This course will use Python for examples and for programming assignments. Students are expected to be proficient in Python programming. Programming assignments will be distributed and turned in as Jupyter notebooks. See this page for information on installing Jupyter; the Anaconda method is recommended, since it also installs the other libraries we will use in the course.","Prereqs enforced by the system: CS 2240 and CS 2250;
Co-located with CS 5110 A;
Total combined enrollment: 70
Open to degree and PACE students",Fall 2025,"{'AND': ['CS 2240', 'CS 2250']}",['Open to degree and PACE students'],False
CS 3120,"Section A, CRN 15536",Secure Distributed Computation,3,MWF 10:50am-11:40am UNASSIGNED (1/12 to 5/1),Joe Near,"Techniques for secure computation involving multiple distributed parties, including applied cryptography, homomorphic encryption, secure multiparty computation, and zero-knowledge proof. Applications including Bitcoin and other blockchain systems, encrypted databases, federated learning, and computing on encrypted data. Credit not awarded for both CS 3120 and CS 5120. Prerequisites: CS 2240, CS 2250.","Techniques for secure computation involving multiple distributed parties, including applied cryptography, homomorphic encryption, secure multiparty computation, verified computation, and zero-knowledge proof. Applications including Bitcoin and other blockchain systems, Ethereum and other smart contracts, encrypted databases, federated learning, and computing on encrypted data.

This is a programming-based course, with minimal theory background required. Programming projects may include:

 - Building an encrypted database that runs queries over encrypted data without decrypting it
 - Building a distributed protocol that computes the average salary among several parties, without revealing any individual's salary
 - Building a decentralized cryptocurrency, using techniques from blockchain research
 - Building a decentralized smart contract system
 - Building a system for distributed machine learning that trains a model without inspecting user data, using federated learning techniques","By the end of this course, you will be able to:

    Describe the common goals of secure computation techniques
    Define and apply the following concepts:
        Secure multiparty computation
        Homomorphic encryption
        Zero-knowledge proof
        Distributed ledger
        Blockchain
    Build systems that compute on encrypted data
    Implement protocols for zero-knowledge proof
    Evaluate the communications cost of a distributed protocol
    Argue for the security of a distributed protocol","Your grade for the course will be determined as follows:

    11 homework assignments (5% each; 55% total)
    in-class exercises (25% total)
    midterm exam (5%)
    final exam (5%)
    final project (10%)","Prereqs enforced by the system: CS 2240 and CS 2250;
Co-located with CS 5120;
Total combined enrollment: 40",Spring 2026,"{'AND': ['CS 2240', 'CS 2250']}",[],False
CS 3220,"Section A, CRN 10129",Computer Architecture,3,MWF 1:10pm-2pm UNASSIGNED (1/12 to 5/1),Jason Hibbeler,"Architecture of computing systems. Control unit logic, input/output processors and devices, asynchronous processing, concurrency, parallelism, and memory hierarchies. Credit not awarded for both CS 3220 and CS 5220. Cross-listed with: CMPE 3220. Prerequisite: CMPE 2210 or CS 2210.","CS 3220 will provide a thorough and sophisticated examination of various hardware aspects of modern computers, including: virtual memory; instruction-set architectures; instruction-level parallelism through pipelining; caches and cache coherence; threads; vector processors; GPUs and the CUDA platform; and quantum computing if time allows.",Students will do written exercises; create software programs  that explore different areas of computer hardware; write short assembly-language programs; and write CUDA programs to learn and apply concepts of GPU-based software development.  Students will have the option of using a system in the Deep Green Cluster of the Vermont Advanced Computing Core for the GPU-based development.,"Student grades will be based on the exams, the written assignments, the programming projects, and attendance.","Prereqs enforced by the system: CS 2210 or CMPE 2210;
Open to Degree and PACE students;
Cross-listed with CMPE 3220 A; Co-located with CS 5220 A
and CMPE 5220A;
Total combined enrollment: 40",Spring 2026,"{'OR': ['CMPE 2210', 'CS 2210']}",['Open to Degree and PACE students'],False
CS 3240,,Algorithm Design & Analysis,3,,,"Comprehensive study of algorithms including greedy algorithms, divide and conquer, dynamic programming, graph algorithms and network flow. Computational intractability. Approximation, local search and randomization. Credit not awarded for both CS 3240 and CS 5240. Prerequisite: CS 2240. Pre/co-requisites: Recommended: CS 2250; STAT 2430, or STAT 2510.",,,,Varies by section,Fall and Spring 2025,CS 2240,[],False
CS 3250,"Section A, CRN 95707",Programming Languages,3,TTh 4:25pm-5:40pm in INNOVATION HALL E210 (8/25 to 12/5),Jennifer Paykin,"Principles of programming language design and fundamental implementation concepts. Syntax, semantics, and static analysis of programs. Provable properties of programming languages such as type safety. Prerequisites: CS 2240, CS 2250.","The focus of this course is on the design of programming languages (PLs) and general underlying concepts. We will emphasize: 

Syntax (form):  What language constructs are desirable, feasible? How do we want to write programs? 

Semantics (meaning): How do we precisely define and document what language features should “do”? 

Implementation: How do we implement a language so that its features behave on a computer the way we document/intend them to? 

Reasoning about programs: well-designed languages allow careful, even formal, thought and reasoning, not just hacking. How can formal reasoning be integrated in PL design and used for programming?

Program properties, aka Metatheory: How can we define and prove general properties of programs, such as type safety, based on language design? 

Static (compile-time) analysis: Ensures properties of programs, by predicting the meaning of programs based solely on their form.","Prerequisites: CS 2240, CS 2250. The main course materials aside from lectures will be course notes that summarize main topics and will be posted before each class. These and additional supplementary materials will be posted on blackboard. All materials for the class will be freely available.","Homework for the course will be a combination of written assignments and programming assignments. Written assignments will generally be distributed every 10 to 14 days and may include small programming exercises, while programming assignments will be less frequent but will require more programming effort. All homework solutions are expected to be an original, individual effort. (60% of final grade).

In addition to homework, a midterm and final exam will be conducted (40% of final grade).","Prereqs enforced by the system: CS 2240, CS 2250
Open to degree and PACE students",Fall 2025,"{'AND': ['CS 2240', 'CS 2250']}",['Open to degree and PACE students'],False
CS 3280,"Section A, CRN 95641",Human-Computer Interaction,3,TTh 1:15pm-2:30pm in LAFAYETTE HALL L111 (8/25 to 12/5),Yuanyuan Feng,"Covers the foundational theories and methods in the interdisciplinary field of human-computer interaction, focuses on the human-centered design and evaluation of user interfaces for various computing systems, as well as introduces a wide range of topics in current human-computer interaction research. Prerequisites: Minimum Junior standing. Pre/Co-requisites: CS 1080 or equivalent experience; completion of WIL1.","This course fulfills WIL2 (Writing and Information Literacy Tier 2).
Why I cannot figure out how to use this thing I just bought? Why is this website/app so hard to use? These frustrations arise when systems are not designed with people in mind. This course is centered around one fundamental question: how can we design human-centered computing systems that people find useful and usable?

This course (1) covers the foundational theories and methods in the interdisciplinary field of human-computer interaction (HCI), (2) focuses on the human-centered design and evaluation of user interfaces for various computing systems (e.g., tangible objects, the web, mobile devices, the Internet of Things), as well as (3) introduces a wide range of topics in current HCI research (e.g., social computing, ubiquitous computing, inclusive computing).","The course materials include:
Textbook: Norman, D. (2013). The Design of Everyday Things: Revised and Expanded Edition (Hard copy recommended; paperback around $15).
Book chapters, articles, papers, and other online materials by HCI practitioners and researchers (available via UVM Library or online).
 
Students are expected to read assigned course materials before class, submit homework for class discussion before class, participate in class discussion, and engage in various classroom activities. There will be in-class quizzes and a summative exam.

Students are expected to work in groups on their semester-long course projects, where they are expected to apply human-centered methods to (1) identify a specific problem that can be addressed by a new or improved interactive user interface, (2) propose potential design alternatives, (3) evaluate these design alternatives, (4) implement the most appropriate user interface design as a prototype, and (5) report the project outcomes in a written report and an oral presentation.

Students should expect to spend approximately 4 hours a week on coursework outside of class, with additional time on their semester-long course projects.","Evaluations:
Student grades will be based on: (1)  in-class quizzes, (2) a summative exam, (3) class participation, and (4) several individual and group deliverables for the course project, including written assignments, presentations, and a user interface prototype.","Prereq: CS 1080 or equivalent experience;
minimum junior standing;
completion of WIL1
Open to degree and PACE students",Fall 2025,{'OR': ['CS 1080']},"['Minimum Junior standing', 'completion of WIL1', 'Open to degree and PACE students']",False
CS 3540,"Section A, CRN 94179",Machine Learning,3,TTh 1:15pm-2:30pm in VOTEY BLDG 207 (8/25 to 12/5),Safwan Wshah,"Introduction to machine learning algorithms, theory, and implementation, including supervised and unsupervised learning; topics typically include linear and logistic regression, learning theory, support vector machines, decision trees, backpropagation artificial neural networks, and an introduction to deep learning. Includes a team-based project. Credit not awarded for both CS 3540 and CS 5540. Prerequisites: STAT 2510 or STAT 5510; MATH 2522 or MATH 2544.","This course offers an introduction to advanced machine learning and statistical pattern recognition algorithms. It includes a wide array of topics, including supervised learning (covering linear regression, logistic regression, neural networks, support vector machines, decision trees, ensemble models, and random forests), as well as unsupervised learning (clustering, dimensionality reduction, and kernel methods). In addition, the course delves into the introduction of deep learning, featuring convolutional neural networks, and explores the latest applications of machine learning. You'll also gain valuable insights and guidance on effectively implementing machine learning algorithms.","Weekly assignments, Term Project and two Mid-term exams.","• Assigned homework (30%)
• Term Project (30%)
• Mid term exams (30%). To exams will be given during the semester, no final exam.
• Class attendance and participation (10%).","Prereqs enforced by the system: STAT 2510 or 5510, and
MATH 2522 or 2544;
Co-located with CS 5540 A and
Cross-listed with CSYS 5990 A and CMPE 3990 A;
Total combined enrollment: 45;
Open to Degree and PACE students",Fall and Spring 2025,"{'AND': [{'OR': ['STAT 2510', 'STAT 5510']}, {'OR': ['MATH 2522', 'MATH 2544']}]}",['Open to Degree and PACE students'],False
